Título,Autores,Fecha,URL,Fuente
,"Xiaofeng Zhang;
Hailin Zou",2009,,IEEE Xplore
,"Chen Xue;
Wang Zhun",2020,,IEEE Xplore
,"Kirby McMaster;
Brian Rague;
Nicole Anderson",2010,,IEEE Xplore
,"Siripon Saenboonsong;
Akarapon Poonsawad",2024,,IEEE Xplore
,"Rif’Ati Dina Handayani;
Albertus Djoko Lesmono;
Srihandono Budi Prastowo;
Bambang Supriadi;
Nila Mutia Dewi",2022,,IEEE Xplore
,"Yiwei Wang;
Liancheng Xu",2023,,IEEE Xplore
,"Lihua Liao;
Jin Liang",2017,,IEEE Xplore
,"Xuchen Zhou;
Wei Zhang;
Shengming Wang;
Hao Chen",2023,,IEEE Xplore
,"Kyu Han Koh;
Ashok Basawapatna;
Hilarie Nickerson;
Alexander Repenning",2014,,IEEE Xplore
,"L. Dee Miller;
Leen-Kiat Soh;
Vlad Chiriacescu;
Elizabeth Ingraham;
Duane F. Shell;
Stephen Ramsay;
Melissa Patterson Hazley",2013,,IEEE Xplore
,"Ines Vlahović;
Ivana Ogrizek Biškupić",2023,,IEEE Xplore
,"Junjie Liu;
Xiaojun Xia;
Yi Bai;
Pingyao Liu",2022,,IEEE Xplore
,"Navid Ahmadi;
Mehdi Jazayeri;
Monica Landoni",2012,,IEEE Xplore
,"Bing-Hong Chen;
Ling-Hsiu Chen;
Chih-Cheng Chen;
Chih-Hung Chen",2021,,IEEE Xplore
,"Samar Swaid;
Taima Suid",2019,,IEEE Xplore
,"Fengping Yu;
Hong Wang",2019,,IEEE Xplore
,"Boqin Liu;
Junmei He",2014,,IEEE Xplore
,"Alexander Repenning;
Ashok Basawapatna;
Nora Escherle",2016,,IEEE Xplore
,"Nasrin Dehbozorgi;
Mehdi Roopaei",2024,,IEEE Xplore
,"Miaomiao Zhao;
Weixing Hu",2022,,IEEE Xplore
,"Takayasu Nakamura;
Tetsushi Kawasaki",2019,,IEEE Xplore
,"M Stella;
A Kapuza;
C Cramer;
S Uzzo;
Vito Latora",2021,,IEEE Xplore
,"Elif Karakaş;
Meltem Turhan Yöndem",2020,,IEEE Xplore
,"Zhenrong Deng;
Wenming Huang;
Rongsheng Dong;
Peizhi Wen",2009,,IEEE Xplore
,"Gunawan;
Shinta Palupi;
Richki Hardi;
Agung Sakti Pribadi;
Riski Zulkarnain;
M. Nurfalah Setiawan;
Nariza Wanti Wulan Sari;
Sulistiyanto;
Denny Trias Utomo",2024,,IEEE Xplore
,"Redar Ismail;
Theresa A. Steinbach;
Craig S. Miller",2022,,IEEE Xplore
,Wilfried Sieg,2007,,IEEE Xplore
